fortuneNum,rate,describe
23,大吉,隆盛運。最高の隆盛運に恵まれた画数で一代でも相当の地位、名誉、財を築きあげる可能性があります。活気、バイタリティに溢れ先見性もありすべてが順調に進みます。忍耐力もあり、チャンスに強く、逆境も災い転じて吉となるごとく簡単に乗り越える運を持ち合わせます。性格も魅力的で世話好き、献身精神に富み多くの人が寄ってきます。何事も上手くいきますが短気な側面がありますので注意が必要です。 また、23画は後家運なので、専業主婦や家庭のウエイトが高い女性の場合は大凶になります。一生独身で経営者やキャリアウーマンの場合は大吉です。しかし家庭はあきらめたほうがいいです。
24,特大吉,六大吉数の一つ。青年期は多少苦労することもありますが、中年期以降の運勢、特に晩年期に良く、財運はもちろん健康、長寿、家庭的にも大変恵まれます。青年期の苦労、障害をバネにして成功への基礎を築き上げていきます。青年期の苦労が人としての魅力を磨き上げ、周囲の信頼を得て成功につながります。協調性にも優れますので自分がトップに立つだけでなく、参謀として他人の成功を手助けすることもできます。晩年期の財運は特に盛大で、多くの家族にも恵まれ、養うこともできます。女性でも問題なく、家庭、仕事と二足のわらじを履くことも可能です。
25,大吉,生まれつきの才能、強い個性、知略、勇猛、頭脳明晰さを持ち合わせ、組織のリーダーとして活躍できる運。外見は控えめで柔らかい印象を与えますが、非常に芯が強く、好き嫌いがはっきりしていて、物事に動じないため頑固者と思われがちです。集団行動よりも単独行動を好み、純粋な心、潔癖な性格が強すぎることから言葉にトゲが出たり、柔軟性を欠き人間関係での衝突が大きな衝突の原因となりがちです。長所が短所を生み出してしまうことがあります。もともとは大きな成功を勝ち取る運がありますので、他人との軋轢に注意しさえすれば持ち前の長所を存分に活かしきれます。女性は結婚後も仕事を持ち続けることが幸運のカギになります。
26,凶,波乱万丈運。才能や実力に目を見張るものを持っていて、一時的に成功するも浮き沈みが激しく結局はダメになってしまう運です。性格的には上から目線で言われると猛烈に反抗心を感じるプライドと頑固さを備えますが、お人好しで、人から頼まれると嫌といえず、渦中に飛び込んでいきます。この部分では一種の英雄気質があると言えますが、運勢的に弱く、安定しないため叶うことはなかなか期待できません。天賦の才に恵まれている場合は、持ち前の忍耐強さ、粘り強さ、チャンスをつかみやすい運を持っていることから大成功を収める人もいます。
27,凶,研ぎ澄まされた感性、才能に恵まれるため自信を持っています。先見性にも富んでいて、実行力、リーダー運もあり中年期の前半位までは成功する運をも持っています。しかし、自己顕示欲が強く協調性に欠け、孤立しがちです。また、中途挫折、争いに巻き込まれる運でもありますので、努力によってせっかくつかんだ成功も人の恨みを買った上でのものが多いため続きません。高い能力を活かし、成功を持続し本物にするためには、協調、不要な軋轢を無くすことが重要になります。
28,大凶,人間的な面や性格にこれといった欠点はありませんが、なぜか人間関係や突発的な不運が続きます。自分自身だけでなく、家族、側近などの事故、病気が順調な時に起こり、上手く行きかけても引きずり降ろされるなど変動の激しい傾向があります。人間関係の面においても、こちらに非が無くても何故か誤解されたり、自分の長所を認めてもらえない傾向にあります。女性の場合は特に離婚する可能性が高くなります。健康面にも不安要素が大きく、命に係わる急激な体調不良に見舞われる可能性もあります。
29,大吉,男性は大吉だが、女性は凶と判断する姓名判断の流派が多いことが特徴の画数。女性の場合は、自分の性格の欠点が目立ったり、人間関係、特に配偶者との縁が薄くなりがちです。男性でも負けず嫌いの性格が強く、野心が旺盛で他人から足元をすくわれる人も多く、精神的に休まる時間が無い傾向にあります。出世欲が強く、常に損得で人との付き合いを判断される方は、利害関係無く、心から安らげる友人をたくさん作るようにすると良いです。社会への還元に意識を向け、自我による出世欲を抑えた方が、結果的に大きな成功へとつながり、幸せ度も増すでしょう。
30,凶,知才に富み、感性も豊かなものを持ち合わせながら、浮き沈み、試練、困難を避けて通ることができない運で、不運が必ず一定周期に訪れます。追い風に乗った際にはそれなりの成功をおさめますが、調子に乗って地固めを怠ると、衰運気に築いたものをすべて失います。また、ギャンブル、一獲千金を常に狙う傾向がありますが、ほとんどの場合、最後は全て失う形で終わります。調子のいい時の基礎固めと堅実な行動が幸せになる鍵です。なお、常に試練に遭遇する運ですので、内面が常に鍛えられるという側面から宗教家や教育者には吉数ともいえます。
31,特大吉,地位名誉を得て大繁栄していく大吉数。また、運に引けを取らない人格的な面での優れたところも多く、目上からは一目置かれ、目下からも慕われます。ギャンブル的な行動に出ることも無く、堅実な努力の上に結果を積み重ねていきます。いつの間にかリーダー的存在になっていて、さらに大きな責任ある事を任されます。特に中年期以降に大きな運が巡って来るので、若いころから着実な努力を積み重ね実力をつけておくことが大成功につながります。また、男女ともルックスのいい人が多く、結婚運もよく素晴らしい縁に恵まれ幸せな家庭を築くことも特徴です。
32,大吉,自分の努力で運を切り開いていくといったイメージではなく、困難に遭遇してもそこそこの努力さえしておけば不思議と周囲からの援助を受け、上手く乗り越えて、さらに成功していきます。周囲からの援助は、人から好かれる性格にも起因しますが、運的にもチャンスに恵まれます。注意が必要なことは、棚ぼた運を当たり前と勘違いし、努力を怠り、傲慢になって周囲の協力を得られなくなることです。チャンスがチャンスを生む、強烈な運勢の強さがあるので、強烈な運に引けを取らない努力をし、謙虚さを忘れず、実力をつければ運勢は盤石なものになります。
33,大吉,飛ぶ鳥を落とす勢いで出世する強運数。才能にも恵まれ、願ったものはほとんどのことが叶っていくでしょう。人間的にも魅力がありますので多くの人が寄ってきます。そのため困難な道も切り開けることができ、競争が激しい世界でも必ず生き残れます。複数分野での成功を収めることが出来ますが、手を広げすぎ調子に乗りすぎると、敵を作り人間関係に軋轢が生じ衰退が始まりますので注意が必要です。とにかく強運ですので、傲慢になる事にはくれぐれも注意が必要です。女性がこの画数を持つと家庭運、結婚運が弱くなります。
34,大凶,途中までは順調でも最後は必ず駄目になる運命です。若いころは志したことが実現していきますが、中年期位から雲行き怪しくなり、病気・事故など不幸が連続し、努力も実ることは早々ないでしょう。才能に恵まれる場合も多いのですが、運という才能が絶対的に必要であることを思い知らされるほど、不幸に見舞われる可能性があります。
35,吉,物静かで優雅、文学・文芸に優れた運を持ちます。ただし、現実的なお金のやりくり、人との駆け引き、競争などは苦手で趣味の世界に没入する傾向があります。性格は温厚で人当たりも良く、敵を作らない性格ですが、優しすぎて主体性に乏しく、頼りがいが無いといった欠点があります。大きな舞台で派手に活躍したり、組織やコミュニティーで人を統率していくことは無く、また大きな責任を任されると重圧に負けてしまいます。女性の場合は、経営者やリーダーになる人でない限り、主体性が強くなさすぎることが吉に働きますので、仕事をメインにしない女性には最適です。
36,大凶,困っている人をみると必ず手を差し伸べるやさしさがあります。時として自己犠牲を払ってまで相手を助けますので、英雄扱いされたりもします。世話好きで、男気があり、人としての魅力は持ちながら、何故か相手からは恩を仇で返されるなど裏目に出てしまいます。保証人になったりすることはご法度で、必ずと言っていいほど保証させられ家族や親しい周囲の人間にも迷惑を掛けます。運的には、不幸が続き失意のどん底に落ち込んでいく傾向です。
37,大吉,この画数の持ち主は努力家で忍耐力が強く、状況判断にも優れています。健康運が高く、金運、仕事運、家庭運も良好です。基本的には人当たりが良く協調性もありますが、実直な傾向があるため好き嫌いが激しいです。また、自分と同じように周囲に忍耐・我慢を求めると人間関係が崩れ、成功が遠のきますので、妥協するポイントを決めておくことが必要です。
38,吉,この画数の持ち主は優しく温厚で人当たり良く、相手に嫌な思いをさせないソフトさを持っています。家庭運が大吉です。男性の場合、優しすぎて女性をイメージさせ、覇気、勇猛心といった活気に欠けてしまいます。大勢の人を引っ張っていくリーダ的存在ではなく、サポート役か、コツコツ努力する技術職に向きます。自分から活路を見出す積極的な行動には出ないのですぐには成功しませんが、地道な努力により周囲の信頼を得て成功します。
39,大吉,外見は平凡でおとなしく見えますが、芯はしっかりしており逆境に負けない精神力を持ちます。運的には晩年運で、中年期までの失敗を糧にして地位、財、名誉を手に入れます。器用さで成功するのではなく、逆境や失敗を乗り越えた経験が人間の厚みを増し、人望を集めた結果によるものです。人生で苦労した分だけ、地位名誉、財産、信用、健康、人間関係、家庭運など全てにおいて普通では経験できないようなスケールの成功を収めます。一番の心配は、成功しても調子に乗って無茶をしすぎると、振り出し（ゼロ）に戻ってしまうことです。謙虚さと感謝を忘れないようすることが肝要です。
40,凶,この画数の持ち主は頭脳明晰で直観力にも優れ積極性もありますが、虚栄心が強い一方で地道な努力を嫌います。また行動に計画性が無く、楽天家気質です。ギャンブル気質もあり、思い付きで一発勝負に出ますが、勝負運はあまりないので殆どの場合は失敗します。地道な努力を怠らなければ持ち前の感性で大成功する可能性もあります。健康運も弱く病弱で、短命の運ですので体には注意が必要です。
41,大吉,成功運はもちろん、知力、才能に恵まれ、根性、粘り、忍耐力、実行力、統率力など運以外でも成功するために必要とされる要素を全て兼ね備えます。人間的にも純粋で、人を自己の利益のためだけに利用することはなく、性格も穏やか人情味にも溢れ、努力家でもあるためリーダー職に非常に向いています。完全主義な部分が前面に出てしまうと、人間関係でつまづくことがあります。女性の場合は、専業主婦でもキャリアウーマンでも力を発揮し、両立も可能です。
42,凶,器用貧乏の気質と運。何事にも興味を持ち、何をやっても、ソツなくこなせ周囲から重宝されますが、薄っぺらく本当の意味での中身が伴わないため続きません。これは、飽きっぽく物事を深く追求しない性格と、主体性が無く周囲に振り回される運からくるものです。欠点を隠し、長所を伸ばすため、専門分野に進む人も多いのが特徴でもあるのですが、専門分野に進むと器用さが無くなり、状況変化があるとついていけないモロさが出てきます。運的にも散漫する傾向があり、きっちりと焦点を定め、努力を続けないと気が付いた時には何も残っていないことになりかねません。器用さを武器にできれば才能が大きく認められる可能性はあります。また、周囲の悪い環境を引き込む運で、何故か孤独になり、寂しさから健康を壊す恐れもあります。
43,凶,この画数の持ち主は、感受性豊かで芸術的な才能に恵まれますが、理性が乏しく意志薄弱で何事も続かない傾向があります。人当たりが良く、優しいので人は寄ってくるのですが、信念や自信に欠け、言動が一致しないので信用を失い、最後には周囲から人がいなくなります。人生全体にわたり金銭、異性関係のトラブルに巻き込まれる傾向がありますので注意が必要です。芸術的な感性など後天的な努力では持ちえない才能に恵まれていることから、長所を伸ばすことよりも短所を徹底的になくすことに注力すると長所が必然的に伸びて運が開けていきます。
44,大凶,避けたい画数です。この画数を持つととにかく不幸の連続で、常人の努力では認められることはありません。超人的な努力をし、この世的な幸せをすべて捨てれるだけの器量を備え、あらゆる不運を乗り越えれた場合は、その分世の中に大きな功を残すこともあります。病気、事故、怪我、思わぬ障害、裏切り、金欠、人間関係の不和などが頻繁に起こります、自分がたぐいまれな人物であると認められるとき以外は、自分の幸せのためはもちろん、家族や親せき、友人等に迷惑をかけないためにも避けた方が良いでしょう。
45,大吉,苦難を乗り越えた末に順風な人生が待っている運です。苦労を肥やしに自分の実力や運を上昇させていく不思議な力を持っていますので、若いころの苦労の多さに比例して、晩年の運が開けていきます。試練を経験することにより、上っ面だけの中身の薄い人間ではなく、芯がしっかりし、粘り強く中身が充実しており人間的にも魅力があります。複数の分野で成功できる運を持ち合わせますので、若いころは多くの経験を積んで視野を広めることをお勧めします。物事を深く追求する資質がありますので、一つの分野に特化すればその分野で名の通る人物にもなれます。なお、一生に一度、命にかかわるような大きな危機に遭遇する可能性がありますので、事故や大病、お金には十二分に注意が必要です。
46,凶,全体…非常に浮き沈みの激しい人生を歩む傾向があります。才能、努力が認められ調子よくいっているかと思うと、思いもよらぬトラブルに見舞われどん底に落ちていくような感じです。生涯で上手くいく時期といかない時期が明確で、順調でも長く続かないと考え行動することで、身を滅ぼすことを防げそうです。特に晩年以降は極端に運が落ちていく傾向ですので、中年期後半までに晩年に備え蓄財しておいた方がよさそうです。総格に46画がある場合は特に晩年に注意が必要で、外格、人格にある場合も最後は衰退してしまう傾向がありますので、バランスを考えて改名したほうが無難です。欲深い性格が見え隠れしますので甘い話に乗る事には厳に慎みが必要です。
47,特大吉,運はいいのですが、ラッキーな運ではなく、努力や苦労を重ね、実力を兼ね備えた開運による幸せです。そのため、一過性の幸運ではなく、本当の意味で長期にわたり繁栄し続けます。衣食住はもちろん、人間関係、健康、地位・名誉にも恵まれます。志が大きければ大きいほど運も伴って大きく開いていきますので、小さなことでなく、大きな事を目標に持った方がいいです。その過程で困難に遭遇しても、必ずと言っていいほど協力者が現れ助けてくれます。青年期までは願いが叶いにくい部分もありますが、人生全体的には、きらびやかな花が咲き乱れた華やかな人生といったところでしょう。ただし、金銭面においてわきの甘い部分がありますので、しっかりした金庫番をパートナーに持てればより大きく開運していきます。
48,大吉,若年期は親との縁が薄かったり少し苦労がありますが、そのためか、持ち生まれた才能、人徳、財徳に恵まれますが、偉そうな態度は絶対にとらず、常に謙虚な姿勢を崩しません。さらに、努力家で勤勉な姿勢から周囲から好感をもたれます。意思も強固ですので、努力や勤勉な姿勢、謙虚さを崩しません。また、物質的な幸せよりも、精神的な幸せを重視することも特徴で、多少の苦労は幸せの糧と考える人徳もあります。人としては非常に優秀な側面を多く持っていますので、努力を怠らず謙虚さを失いさえしなければ、中年期以降に大きく運が開いていきます。向上心を絶対に忘れず、目標を見定めて突き進むことが大切です。ただし、意志の強固さが裏目に出ると、融通の利かないただの頑固者になります。また、融通の利かなさが逆境時にマイナスのベクトルを加速させますので注意が必要です。
49,凶,４9の数自体に名誉や幸運と意味があるのですが、脆弱、衰退をも意味しますので吉凶半々ですが、時の経過とともに、どうしても凶の要素が強くなりがちですので半吉というより凶になります。特殊な運、才能に恵まれる傾向にあり、芸術家や宗教家、政治家など、普通の人が接しない分野で才能を発揮したり、比較的早くから頭角を現し、人がうらやむほど大きく成功することもありますが、あくまで一時の運に乗った成功である場合が多く、実力に裏付けられたものではありません。運気の上昇時は何をやっても上手くいきますが、運気が下がりだすと極端に落ちぶれるといった安定性に欠け、環境が急変する運ですので、自分の才能を見極め、継続的な努力をするとともに欠点を少なくする努力が成功のカギです。意思決定の段階での偏った考え方に基づく決断が、不安定の一番の要因でもありますので、広い観点からの考え方を身に着けると長所が活かされます。
50,凶,若いころは比較的成功しやすく、しかも大きめの成功になりますので運が良いように見えますが、浮き沈みが激しく、成功が長続きしない運です。好みにもよりますが、結局のところ運が良いとはいえず、年齢とともに下り坂を下っていくように落ち込んでいきます。ギャンブルを好む人も多く、儲けることも多いのですが、損する金額も大きく、結局は損して、ギャンブルでも身を亡ぼす人が多くいます。しかし、頭の中は常に大きな成功、理想をイメージする野心家で、また粘り強い努力家でもあります。積極的で頭もいいため、計画を推し進めますが、運気の悪さがすべてをダメにしてしまいがちです。若いころに一度は大きな成功を収めることのできる運ですので、成功時の資金や人脈を失わないように、自分の実力を勘違いしたり、心奢りしないことが大切です。成功時にチヤホヤされても浮つかず、晩年の運気は良くないことを念頭に、コツコツとした地に足ついた地道な努力を積み重ねることが幸せを続ける鍵になります。
51,凶,人生、特に中年期前に大きな運に恵まれる可能性があります。しかし、残念なことはチャンスの回数は非常に少ないということです。また、一度成功はあっても二度目の成功の確率は非常に低くなりますので、一度大きな成功をした後は、味をしめず地味な生活を心掛けるべきです。女性の場合は、幼少期から幸せな生活が送れ、人生は全て思いのままに進むと勘違いするくらい順調ですが、運勢は後半にかけて極端に落ち込んでいきます。総格、外格、人格のいずれかが51画の場合、結婚により画数が変わる可能性がありますが、そうでない場合は若いときから実力を養い、物心両面において晩年に備えておく必要があります。男性、女性とも運的には不安定要素が非常に強いですので、順調な時でも常に気を引き締め緊張感を保つことが幸せを続けるコツになります。健康面においては、内臓の病気に注意が必要です。
52,大吉,大きな運に恵まれ自分の願いがほとんどかなえられる大吉数です。何もない無から形ある有を生み出す能力を持っていて、誰もが想像できないアイデア、企画、計画、行動を思い付き、持ち前の行動力も相まって周囲を驚かせます。また、これらのアイデアや企画などは非常に先見性に優れたもので、その力も個人的な運気の枠にとらわれない、時代の流れを変えてしまうほどのものです。常に上昇志向で、難易度の高い事、自分にとって価値あると感じられるものに精力を注ぎ、価値を見出します。思考の視点も非常にスケールの大きなもので、思慮深く、客観的に物事を見るリーダーシップにも優れますので、多くの人を導きながら一つの時代を築くといっても過言でないほど大きな運に恵まれます。スケールの大きさが魅力で、多くの人が添ってきますが、好き嫌いがあり、先見性に乏しく、変化を嫌がる人や嫉妬心強く、自分とそりの合わない人から足元をすくわれるところがありますので、大きな事に取り組むときほど、側近には気の合う信用できる人が必要です。
53,凶,実力の全く伴わない、華やかさだけを求める見栄っ張りで、努力の伴わない実力以上のことを望みがちです。この画数を持つ人は比較的若年時の運勢が良い場合が多く、実力が無くても上手く取り繕いスイスイいってしまう場合があります。また輪を掛けて、虚栄心が強いことから外見的な華やかさを装うのが上手ですので、周囲の注目を集め、色んなことを任され、仕事も増えていきます。しかし、口先だけで実力のないことが本人は良く分かっていますので、周りからチヤホヤされ、外見的には自信たっぷりに見せかけても内面はハラハラドキドキしています。浪費も積もり積もって経済的にも火の車の状態が多く、何かの拍子にボロが出て破たんすることもしばしばです。根は真面目ですので、コツコツ努力して着実に実力を養うことが先決です。人の人生には誰にでも華やかな部分と影の部分がありますが、53画を持つ人は華やかな部分と地味な部分、あるいは吉凶、または栄枯盛衰が両極端に表れがちで、さらに、どちらかといえば影の部分、凶の面が勝ります。常に等身大の自分を心掛ければ運の衰退をカバーでき、運のバランスもとれますので、中身のある自分を作ることが大切です。
54,大凶,才能はあるものの、苦労、苦悩、孤独、短命、事故、不和、災厄、トラブル、耽溺などおおよその不幸を意味する大凶数です。努力の末に数少ないチャンスをつかんでもそれを生かすことができず、必要以上に苦労を強いられます。晩年は人間関係や家族、財産などそれまで築いたものを全て失い、貧困や孤独に陥る可能性があります。快楽、色欲を慎み、大らかな心と粘り強い努力、感謝、凡事徹底といった人生の本質に沿った行き方が必要です。しかし、相当の根気と時間を要することは否めません。努力も必要ですが、不幸の主な原因が54画の持つ凶数の影響である事も多いです。
